ServicerIdentifier,NoteDate,PropertyValuationEffectiveDate,NoteAmount,CurrentBalance,CurrentInterestRatePercent,ScheduledFirstPaymentDate,LoanMaturityDate,LastPaidInstallmentDueDate,PropertyValuationAmount,LtvRatioPercentCurrent,CreditScoreValueRecent,TimesDq,Dti,CeilingRatePercent,FloorRatePercent,MarginRatePercent,Vintage,TypeProd,StateCode,Cbsa,NoteRatePercent,Age,MonthsUntilRateReset,IsCurrentlyIo,LastPaymentReceivedDate,NextPayDate,MonthsDq,LtvRatioPercent,IsArm,CurrentLtvRange,PaymentType,DelinquencyCategory
Wells Fargo,10/1/2004,10/1/2004,206400,126884.99,4.5,10/1/2004,10/1/2034,10/1/2019,262000,49.18,703,0,40,0,0,2.3,2004,NegAm,TX,26420,4.1216,180,1,FALSE,6/1/2019,11/1/2019,2,80,FALSE,0.01 - 59.99,ReDefault,60 Days
Fay Servicing,9/1/2007,2/12/2017,475000,356430.77,5,9/1/2007,9/1/2047,10/1/2019,335000,71.29,566,0,42,0,0,3,2007,Fixed,MD,47900,4.78,145,0,FALSE,9/1/2019,11/1/2019,0,95,FALSE,70.00 - 79.99,Reperforming,Current
Fay Servicing,9/1/2008,2/12/2017,266000,129387.93,8.5819,9/1/2008,5/1/2035,10/1/2019,200000,45.08,701,0,40,0,0,3,2008,Fixed,IL,16980,8.3619,133,0,FALSE,9/1/2019,11/1/2019,0,92.68,0,0.01 - 59.99,Reperforming,Current
Fay Servicing,11/1/2006,12/21/2016,270750,209525.55,4.8,11/1/2006,11/1/2036,10/1/2019,240000,73.52,498,0,42,0,0,3,2006,Fixed,IL,16980,4.58,155,0,FALSE,7/1/2019,11/1/2019,1,95,FALSE,70.00 - 79.99,ReDefault,30 Days
Fay Servicing,4/1/2017,2/17/2017,502000,416341.8,5.25,4/1/2017,5/1/2055,10/1/2019,430000,64.55,702,0,40,0,0,3,2017,Fixed,CA,31080,5.03,30,0,FALSE,9/1/2019,11/1/2019,0,77.83,0,60.00 - 69.99,Reperforming,Current
Fay Servicing,2/1/2017,2/20/2017,287200,144841.43,4,2/1/2017,2/1/2047,10/1/2019,425000,40.35,762,0,34,0,0,3,2017,Fixed,MI,19820,3.78,32,0,FALSE,9/1/2019,11/1/2019,0,80,FALSE,0.01 - 59.99,Reperforming,Current
Fay Servicing,8/1/2010,1/1/2017,313120,310534.35,3.875,8/1/2010,8/1/2040,10/1/2019,315000,79.22,690,0,40,0,0,3,2010,Fixed,NY,35620,3.655,110,0,FALSE,8/1/2019,11/1/2019,0,79.88,FALSE,70.00 - 79.99,Reperforming,Current
Fay Servicing,3/1/2007,2/12/2017,795000,820592.39,5.25,3/1/2007,3/1/2037,10/1/2019,830000,68.38,778,0,34,11.5,2.25,2.25,2007,ARM,CA,41860,5.03,151,7,FALSE,9/1/2019,11/1/2019,0,66.25,TRUE,60.00 - 69.99,Reperforming,Current
Fay Servicing,1/1/2007,2/17/2017,194663.91,170585.63,4.75,1/1/2007,1/1/2037,10/1/2019,220000,52.49,629,0,42,0,0,3,2007,Fixed,AZ,49740,4.53,153,0,FALSE,8/22/2019,11/1/2019,0,59.9,0,0.01 - 59.99,Reperforming,Current
Fay Servicing,4/1/2017,4/20/2017,120950,123892.61,5,4/1/2017,3/1/2055,10/1/2019,132900,101.13,613,0,42,0,0,3,2017,Fixed,SC,17900,4.78,30,0,FALSE,10/1/2019,11/1/2019,0,98.73,FALSE,100.00 - 109.99,Reperforming,Current
Fay Servicing,4/1/2017,2/20/2017,355000,293823.38,4.5,4/1/2017,1/1/2055,10/1/2019,370000,77.32,653,0,42,0,0,3,2017,Fixed,NJ,35620,4.28,30,0,FALSE,9/1/2019,11/1/2019,0,93.42,FALSE,70.00 - 79.99,Reperforming,Current
Fay Servicing,4/1/2017,12/21/2016,417000,384531.39,4.625,4/1/2017,6/1/2030,10/1/2019,360000,71.87,549,0,42,0,0,3,2017,Fixed,MD,47900,4.405,30,0,FALSE,7/1/2019,11/1/2019,1,77.94,FALSE,70.00 - 79.99,ReDefault,30 Days
Fay Servicing,4/1/2017,12/22/2016,214000,221573.02,4.25,4/1/2017,12/1/2052,10/1/2019,275000,97.61,642,0,42,0,0,3,2017,Fixed,NY,27060,4.03,30,0,FALSE,10/1/2019,11/1/2019,0,94.27,FALSE,90.00 - 99.99,Reperforming,Current
Fay Servicing,4/1/2017,8/17/2016,168750,141804.69,4,4/1/2017,9/1/2046,10/1/2019,155000,63.02,500,0,42,0,0,3,2017,Fixed,CT,25540,3.78,30,0,FALSE,8/1/2019,11/1/2019,0,75,0,60.00 - 69.99,Reperforming,Current
